G,Date,Age,Tm,At,Opp,Point_Dif,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player,Pos
3,2022-10-23,26-054,PHO,@,LAC,W (+17),1,36.5,3,9,0.333,1,3,0.333,0,0,,1,3,4,4,0,1,1,3,7,4.8,9.0,bridgmi01,SF
3,2022-10-23,26-054,PHO,@,LAC,W (+17),1,36.5,3,9,0.333,1,3,0.333,0,0,,1,3,4,4,0,1,1,3,7,4.8,9.0,bridgmi01,SG
4,2022-10-25,26-056,PHO,,GSW,W (+29),1,32.9,7,8,0.875,0,0,,3,3,1.0,3,3,6,2,1,2,1,3,17,18.8,21.0,bridgmi01,SF
4,2022-10-25,26-056,PHO,,GSW,W (+29),1,32.9,7,8,0.875,0,0,,3,3,1.0,3,3,6,2,1,2,1,3,17,18.8,21.0,bridgmi01,SF
4,2022-10-25,26-056,PHO,,GSW,W (+29),1,32.9,7,8,0.875,0,0,,3,3,1.0,3,3,6,2,1,2,1,3,17,18.8,21.0,bridgmi01,SG
5,2022-10-28,26-059,PHO,,NOP,W (+13),1,31.1,10,13,0.769,3,5,0.6,4,4,1.0,0,2,2,4,1,3,1,1,27,27.0,-1.0,bridgmi01,SF
5,2022-10-28,26-059,PHO,,NOP,W (+13),1,31.1,10,13,0.769,3,5,0.6,4,4,1.0,0,2,2,4,1,3,1,1,27,27.0,-1.0,bridgmi01,SF
5,2022-10-28,26-059,PHO,,NOP,W (+13),1,31.1,10,13,0.769,3,5,0.6,4,4,1.0,0,2,2,4,1,3,1,1,27,27.0,-1.0,bridgmi01,SG
6,2022-10-30,26-061,PHO,,HOU,W (+15),1,32.8,5,7,0.714,2,3,0.667,3,4,0.75,1,4,5,1,0,1,1,3,15,12.8,12.0,bridgmi01,SF
6,2022-10-30,26-061,PHO,,HOU,W (+15),1,32.8,5,7,0.714,2,3,0.667,3,4,0.75,1,4,5,1,0,1,1,3,15,12.8,12.0,bridgmi01,SF
6,2022-10-30,26-061,PHO,,HOU,W (+15),1,32.8,5,7,0.714,2,3,0.667,3,4,0.75,1,4,5,1,0,1,1,3,15,12.8,12.0,bridgmi01,SG
7,2022-11-01,26-063,PHO,,MIN,W (+9),1,38.2,7,10,0.7,1,2,0.5,4,4,1.0,2,1,3,4,1,1,1,1,19,19.6,20.0,bridgmi01,SF
7,2022-11-01,26-063,PHO,,MIN,W (+9),1,38.2,7,10,0.7,1,2,0.5,4,4,1.0,2,1,3,4,1,1,1,1,19,19.6,20.0,bridgmi01,SF
7,2022-11-01,26-063,PHO,,MIN,W (+9),1,38.2,7,10,0.7,1,2,0.5,4,4,1.0,2,1,3,4,1,1,1,1,19,19.6,20.0,bridgmi01,SG
8,2022-11-04,26-066,PHO,,POR,L (-2),1,37.7,4,9,0.444,2,3,0.667,2,2,1.0,0,5,5,2,2,0,1,2,12,10.4,7.0,bridgmi01,SF
8,2022-11-04,26-066,PHO,,POR,L (-2),1,37.7,4,9,0.444,2,3,0.667,2,2,1.0,0,5,5,2,2,0,1,2,12,10.4,7.0,bridgmi01,SF
8,2022-11-04,26-066,PHO,,POR,L (-2),1,37.7,4,9,0.444,2,3,0.667,2,2,1.0,0,5,5,2,2,0,1,2,12,10.4,7.0,bridgmi01,SG
9,2022-11-05,26-067,PHO,,POR,W (+20),1,27.0,3,7,0.429,1,2,0.5,4,5,0.8,0,1,1,2,2,1,0,0,11,11.3,18.0,bridgmi01,SF
9,2022-11-05,26-067,PHO,,POR,W (+20),1,27.0,3,7,0.429,1,2,0.5,4,5,0.8,0,1,1,2,2,1,0,0,11,11.3,18.0,bridgmi01,SF
9,2022-11-05,26-067,PHO,,POR,W (+20),1,27.0,3,7,0.429,1,2,0.5,4,5,0.8,0,1,1,2,2,1,0,0,11,11.3,18.0,bridgmi01,SG
10,2022-11-07,26-069,PHO,@,PHI,L (-12),1,43.5,6,12,0.5,1,2,0.5,2,2,1.0,0,5,5,1,0,1,0,1,15,11.5,-14.0,bridgmi01,SF
10,2022-11-07,26-069,PHO,@,PHI,L (-12),1,43.5,6,12,0.5,1,2,0.5,2,2,1.0,0,5,5,1,0,1,0,1,15,11.5,-14.0,bridgmi01,SF
10,2022-11-07,26-069,PHO,@,PHI,L (-12),1,43.5,6,12,0.5,1,2,0.5,2,2,1.0,0,5,5,1,0,1,0,1,15,11.5,-14.0,bridgmi01,SG
11,2022-11-09,26-071,PHO,@,MIN,W (+12),1,42.3,12,20,0.6,2,6,0.333,5,5,1.0,2,7,9,5,4,1,2,1,31,31.1,12.0,bridgmi01,SF
11,2022-11-09,26-071,PHO,@,MIN,W (+12),1,42.3,12,20,0.6,2,6,0.333,5,5,1.0,2,7,9,5,4,1,2,1,31,31.1,12.0,bridgmi01,SF
11,2022-11-09,26-071,PHO,@,MIN,W (+12),1,42.3,12,20,0.6,2,6,0.333,5,5,1.0,2,7,9,5,4,1,2,1,31,31.1,12.0,bridgmi01,SG
12,2022-11-11,26-073,PHO,@,ORL,L (-17),1,37.6,3,13,0.231,2,6,0.333,0,0,,1,3,4,6,0,0,1,2,8,4.1,-16.0,bridgmi01,SF
12,2022-11-11,26-073,PHO,@,ORL,L (-17),1,37.6,3,13,0.231,2,6,0.333,0,0,,1,3,4,6,0,0,1,2,8,4.1,-16.0,bridgmi01,SF
12,2022-11-11,26-073,PHO,@,ORL,L (-17),1,37.6,3,13,0.231,2,6,0.333,0,0,,1,3,4,6,0,0,1,2,8,4.1,-16.0,bridgmi01,SG
13,2022-11-14,26-076,PHO,@,MIA,L (-1),1,40.9,7,14,0.5,1,3,0.333,0,0,,1,4,5,2,1,1,1,1,15,11.6,-1.0,bridgmi01,SF
13,2022-11-14,26-076,PHO,@,MIA,L (-1),1,40.9,7,14,0.5,1,3,0.333,0,0,,1,4,5,2,1,1,1,1,15,11.6,-1.0,bridgmi01,SF
13,2022-11-14,26-076,PHO,@,MIA,L (-1),1,40.9,7,14,0.5,1,3,0.333,0,0,,1,4,5,2,1,1,1,1,15,11.6,-1.0,bridgmi01,SG
14,2022-11-16,26-078,PHO,,GSW,W (+11),1,41.8,6,11,0.545,5,8,0.625,6,6,1.0,2,7,9,9,1,0,2,3,23,25.3,23.0,bridgmi01,SF
14,2022-11-16,26-078,PHO,,GSW,W (+11),1,41.8,6,11,0.545,5,8,0.625,6,6,1.0,2,7,9,9,1,0,2,3,23,25.3,23.0,bridgmi01,SF
14,2022-11-16,26-078,PHO,,GSW,W (+11),1,41.8,6,11,0.545,5,8,0.625,6,6,1.0,2,7,9,9,1,0,2,3,23,25.3,23.0,bridgmi01,SG
15,2022-11-18,26-080,PHO,@,UTA,L (-1),1,34.8,6,12,0.5,0,2,0.0,1,2,0.5,0,6,6,2,2,3,2,3,13,10.7,0.0,bridgmi01,SF
15,2022-11-18,26-080,PHO,@,UTA,L (-1),1,34.8,6,12,0.5,0,2,0.0,1,2,0.5,0,6,6,2,2,3,2,3,13,10.7,0.0,bridgmi01,SF
15,2022-11-18,26-080,PHO,@,UTA,L (-1),1,34.8,6,12,0.5,0,2,0.0,1,2,0.5,0,6,6,2,2,3,2,3,13,10.7,0.0,bridgmi01,SG
16,2022-11-20,26-082,PHO,,NYK,W (+21),1,32.6,6,11,0.545,1,3,0.333,0,0,,1,5,6,5,2,1,1,1,13,14.7,16.0,bridgmi01,SF
16,2022-11-20,26-082,PHO,,NYK,W (+21),1,32.6,6,11,0.545,1,3,0.333,0,0,,1,5,6,5,2,1,1,1,13,14.7,16.0,bridgmi01,SF
16,2022-11-20,26-082,PHO,,NYK,W (+21),1,32.6,6,11,0.545,1,3,0.333,0,0,,1,5,6,5,2,1,1,1,13,14.7,16.0,bridgmi01,SG
17,2022-11-22,26-084,PHO,,LAL,W (+10),1,41.4,10,17,0.588,5,7,0.714,0,0,,0,6,6,3,1,1,0,3,25,21.5,6.0,bridgmi01,SF
17,2022-11-22,26-084,PHO,,LAL,W (+10),1,41.4,10,17,0.588,5,7,0.714,0,0,,0,6,6,3,1,1,0,3,25,21.5,6.0,bridgmi01,SF
17,2022-11-22,26-084,PHO,,LAL,W (+10),1,41.4,10,17,0.588,5,7,0.714,0,0,,0,6,6,3,1,1,0,3,25,21.5,6.0,bridgmi01,SG
18,2022-11-25,26-087,PHO,,DET,W (+6),1,34.7,6,17,0.353,3,6,0.5,0,0,,1,1,2,2,2,0,1,4,15,7.3,3.0,bridgmi01,SF
18,2022-11-25,26-087,PHO,,DET,W (+6),1,34.7,6,17,0.353,3,6,0.5,0,0,,1,1,2,2,2,0,1,4,15,7.3,3.0,bridgmi01,SF
18,2022-11-25,26-087,PHO,,DET,W (+6),1,34.7,6,17,0.353,3,6,0.5,0,0,,1,1,2,2,2,0,1,4,15,7.3,3.0,bridgmi01,SG
19,2022-11-26,26-088,PHO,,UTA,W (+1),1,40.9,7,10,0.7,0,1,0.0,2,2,1.0,0,3,3,2,1,0,0,2,16,14.3,3.0,bridgmi01,SF
19,2022-11-26,26-088,PHO,,UTA,W (+1),1,40.9,7,10,0.7,0,1,0.0,2,2,1.0,0,3,3,2,1,0,0,2,16,14.3,3.0,bridgmi01,SF
19,2022-11-26,26-088,PHO,,UTA,W (+1),1,40.9,7,10,0.7,0,1,0.0,2,2,1.0,0,3,3,2,1,0,0,2,16,14.3,3.0,bridgmi01,SG
20,2022-11-28,26-090,PHO,@,SAC,W (+5),1,40.5,6,14,0.429,1,6,0.167,0,1,0.0,2,6,8,7,3,3,2,0,13,16.4,-3.0,bridgmi01,SF
20,2022-11-28,26-090,PHO,@,SAC,W (+5),1,40.5,6,14,0.429,1,6,0.167,0,1,0.0,2,6,8,7,3,3,2,0,13,16.4,-3.0,bridgmi01,SF
20,2022-11-28,26-090,PHO,@,SAC,W (+5),1,40.5,6,14,0.429,1,6,0.167,0,1,0.0,2,6,8,7,3,3,2,0,13,16.4,-3.0,bridgmi01,SG
21,2022-11-30,26-092,PHO,,CHI,W (+19),1,38.4,3,13,0.231,0,4,0.0,2,2,1.0,2,2,4,3,0,2,0,3,8,4.4,13.0,bridgmi01,SF
21,2022-11-30,26-092,PHO,,CHI,W (+19),1,38.4,3,13,0.231,0,4,0.0,2,2,1.0,2,2,4,3,0,2,0,3,8,4.4,13.0,bridgmi01,SF
21,2022-11-30,26-092,PHO,,CHI,W (+19),1,38.4,3,13,0.231,0,4,0.0,2,2,1.0,2,2,4,3,0,2,0,3,8,4.4,13.0,bridgmi01,SG
22,2022-12-02,26-094,PHO,,HOU,L (-1),1,36.5,8,16,0.5,3,7,0.429,3,3,1.0,2,6,8,2,1,0,3,5,22,14.6,4.0,bridgmi01,SF
22,2022-12-02,26-094,PHO,,HOU,L (-1),1,36.5,8,16,0.5,3,7,0.429,3,3,1.0,2,6,8,2,1,0,3,5,22,14.6,4.0,bridgmi01,SF
22,2022-12-02,26-094,PHO,,HOU,L (-1),1,36.5,8,16,0.5,3,7,0.429,3,3,1.0,2,6,8,2,1,0,3,5,22,14.6,4.0,bridgmi01,SG
23,2022-12-04,26-096,PHO,@,SAS,W (+38),1,25.5,7,11,0.636,6,7,0.857,0,0,,1,3,4,3,0,0,0,2,20,18.0,30.0,bridgmi01,SF
23,2022-12-04,26-096,PHO,@,SAS,W (+38),1,25.5,7,11,0.636,6,7,0.857,0,0,,1,3,4,3,0,0,0,2,20,18.0,30.0,bridgmi01,SF
23,2022-12-04,26-096,PHO,@,SAS,W (+38),1,25.5,7,11,0.636,6,7,0.857,0,0,,1,3,4,3,0,0,0,2,20,18.0,30.0,bridgmi01,SG
24,2022-12-05,26-097,PHO,@,DAL,L (-19),1,29.6,4,11,0.364,2,6,0.333,3,3,1.0,0,2,2,2,0,0,1,1,13,7.5,-14.0,bridgmi01,SF
24,2022-12-05,26-097,PHO,@,DAL,L (-19),1,29.6,4,11,0.364,2,6,0.333,3,3,1.0,0,2,2,2,0,0,1,1,13,7.5,-14.0,bridgmi01,SF
24,2022-12-05,26-097,PHO,@,DAL,L (-19),1,29.6,4,11,0.364,2,6,0.333,3,3,1.0,0,2,2,2,0,0,1,1,13,7.5,-14.0,bridgmi01,SG
25,2022-12-07,26-099,PHO,,BOS,L (-27),1,27.7,2,12,0.167,0,5,0.0,0,0,,1,2,3,0,1,0,1,1,4,-2.7,-33.0,bridgmi01,SF
25,2022-12-07,26-099,PHO,,BOS,L (-27),1,27.7,2,12,0.167,0,5,0.0,0,0,,1,2,3,0,1,0,1,1,4,-2.7,-33.0,bridgmi01,SF
25,2022-12-07,26-099,PHO,,BOS,L (-27),1,27.7,2,12,0.167,0,5,0.0,0,0,,1,2,3,0,1,0,1,1,4,-2.7,-33.0,bridgmi01,SG
26,2022-12-09,26-101,PHO,@,NOP,L (-11),1,35.3,4,12,0.333,3,5,0.6,0,0,,2,3,5,3,2,0,1,5,11,7.6,-7.0,bridgmi01,SF
26,2022-12-09,26-101,PHO,@,NOP,L (-11),1,35.3,4,12,0.333,3,5,0.6,0,0,,2,3,5,3,2,0,1,5,11,7.6,-7.0,bridgmi01,SF
26,2022-12-09,26-101,PHO,@,NOP,L (-11),1,35.3,4,12,0.333,3,5,0.6,0,0,,2,3,5,3,2,0,1,5,11,7.6,-7.0,bridgmi01,SG
27,2022-12-11,26-103,PHO,@,NOP,L (-5),1,44.6,10,23,0.435,5,13,0.385,2,2,1.0,3,2,5,3,2,0,1,1,27,20.3,-9.0,bridgmi01,SF
27,2022-12-11,26-103,PHO,@,NOP,L (-5),1,44.6,10,23,0.435,5,13,0.385,2,2,1.0,3,2,5,3,2,0,1,1,27,20.3,-9.0,bridgmi01,SF
27,2022-12-11,26-103,PHO,@,NOP,L (-5),1,44.6,10,23,0.435,5,13,0.385,2,2,1.0,3,2,5,3,2,0,1,1,27,20.3,-9.0,bridgmi01,SG
28,2022-12-13,26-105,PHO,@,HOU,L (-14),1,38.1,4,24,0.167,2,10,0.2,8,8,1.0,1,2,3,3,2,0,1,3,18,6.0,-14.0,bridgmi01,SF
28,2022-12-13,26-105,PHO,@,HOU,L (-14),1,38.1,4,24,0.167,2,10,0.2,8,8,1.0,1,2,3,3,2,0,1,3,18,6.0,-14.0,bridgmi01,SF
28,2022-12-13,26-105,PHO,@,HOU,L (-14),1,38.1,4,24,0.167,2,10,0.2,8,8,1.0,1,2,3,3,2,0,1,3,18,6.0,-14.0,bridgmi01,SG
29,2022-12-15,26-107,PHO,@,LAC,W (+16),1,39.1,11,18,0.611,2,5,0.4,3,4,0.75,1,5,6,0,1,2,1,1,27,21.6,8.0,bridgmi01,SF
29,2022-12-15,26-107,PHO,@,LAC,W (+16),1,39.1,11,18,0.611,2,5,0.4,3,4,0.75,1,5,6,0,1,2,1,1,27,21.6,8.0,bridgmi01,SF
29,2022-12-15,26-107,PHO,@,LAC,W (+16),1,39.1,11,18,0.611,2,5,0.4,3,4,0.75,1,5,6,0,1,2,1,1,27,21.6,8.0,bridgmi01,SG
30,2022-12-17,26-109,PHO,,NOP,W (+4),1,37.2,5,13,0.385,3,9,0.333,2,2,1.0,0,3,3,2,3,0,0,0,15,13.2,11.0,bridgmi01,SF
30,2022-12-17,26-109,PHO,,NOP,W (+4),1,37.2,5,13,0.385,3,9,0.333,2,2,1.0,0,3,3,2,3,0,0,0,15,13.2,11.0,bridgmi01,SF
30,2022-12-17,26-109,PHO,,NOP,W (+4),1,37.2,5,13,0.385,3,9,0.333,2,2,1.0,0,3,3,2,3,0,0,0,15,13.2,11.0,bridgmi01,SG
31,2022-12-19,26-111,PHO,,LAL,W (+26),1,30.4,7,16,0.438,2,6,0.333,4,5,0.8,0,1,1,2,1,1,2,3,20,11.4,18.0,bridgmi01,SF
31,2022-12-19,26-111,PHO,,LAL,W (+26),1,30.4,7,16,0.438,2,6,0.333,4,5,0.8,0,1,1,2,1,1,2,3,20,11.4,18.0,bridgmi01,SF
31,2022-12-19,26-111,PHO,,LAL,W (+26),1,30.4,7,16,0.438,2,6,0.333,4,5,0.8,0,1,1,2,1,1,2,3,20,11.4,18.0,bridgmi01,SG
32,2022-12-20,26-112,PHO,,WAS,L (-3),1,39.5,4,11,0.364,1,4,0.25,1,2,0.5,1,2,3,3,0,0,4,3,10,1.7,-6.0,bridgmi01,SF
32,2022-12-20,26-112,PHO,,WAS,L (-3),1,39.5,4,11,0.364,1,4,0.25,1,2,0.5,1,2,3,3,0,0,4,3,10,1.7,-6.0,bridgmi01,SF
32,2022-12-20,26-112,PHO,,WAS,L (-3),1,39.5,4,11,0.364,1,4,0.25,1,2,0.5,1,2,3,3,0,0,4,3,10,1.7,-6.0,bridgmi01,SG
33,2022-12-23,26-115,PHO,,MEM,L (-25),1,28.2,2,7,0.286,0,2,0.0,1,2,0.5,0,2,2,3,0,0,2,4,5,-0.4,-18.0,bridgmi01,SF
33,2022-12-23,26-115,PHO,,MEM,L (-25),1,28.2,2,7,0.286,0,2,0.0,1,2,0.5,0,2,2,3,0,0,2,4,5,-0.4,-18.0,bridgmi01,SF
33,2022-12-23,26-115,PHO,,MEM,L (-25),1,28.2,2,7,0.286,0,2,0.0,1,2,0.5,0,2,2,3,0,0,2,4,5,-0.4,-18.0,bridgmi01,SG
34,2022-12-25,26-117,PHO,@,DEN,L (-3),1,40.2,5,12,0.417,2,5,0.4,1,1,1.0,0,2,2,3,0,4,2,5,13,8.1,-13.0,bridgmi01,SF
34,2022-12-25,26-117,PHO,@,DEN,L (-3),1,40.2,5,12,0.417,2,5,0.4,1,1,1.0,0,2,2,3,0,4,2,5,13,8.1,-13.0,bridgmi01,SF
34,2022-12-25,26-117,PHO,@,DEN,L (-3),1,40.2,5,12,0.417,2,5,0.4,1,1,1.0,0,2,2,3,0,4,2,5,13,8.1,-13.0,bridgmi01,SG
35,2022-12-27,26-119,PHO,@,MEM,W (+17),1,24.8,3,8,0.375,1,3,0.333,3,3,1.0,0,2,2,3,1,2,3,2,10,6.9,12.0,bridgmi01,SF
35,2022-12-27,26-119,PHO,@,MEM,W (+17),1,24.8,3,8,0.375,1,3,0.333,3,3,1.0,0,2,2,3,1,2,3,2,10,6.9,12.0,bridgmi01,SF
35,2022-12-27,26-119,PHO,@,MEM,W (+17),1,24.8,3,8,0.375,1,3,0.333,3,3,1.0,0,2,2,3,1,2,3,2,10,6.9,12.0,bridgmi01,SG
36,2022-12-28,26-120,PHO,@,WAS,L (-25),1,40.4,6,15,0.4,3,6,0.5,2,2,1.0,1,3,4,5,2,1,0,1,17,16.3,-6.0,bridgmi01,SF
36,2022-12-28,26-120,PHO,@,WAS,L (-25),1,40.4,6,15,0.4,3,6,0.5,2,2,1.0,1,3,4,5,2,1,0,1,17,16.3,-6.0,bridgmi01,SF
36,2022-12-28,26-120,PHO,@,WAS,L (-25),1,40.4,6,15,0.4,3,6,0.5,2,2,1.0,1,3,4,5,2,1,0,1,17,16.3,-6.0,bridgmi01,SG
37,2022-12-30,26-122,PHO,@,TOR,L (-9),1,37.3,6,9,0.667,2,4,0.5,7,7,1.0,0,2,2,2,0,1,2,2,21,17.0,-20.0,bridgmi01,SF
37,2022-12-30,26-122,PHO,@,TOR,L (-9),1,37.3,6,9,0.667,2,4,0.5,7,7,1.0,0,2,2,2,0,1,2,2,21,17.0,-20.0,bridgmi01,SF
37,2022-12-30,26-122,PHO,@,TOR,L (-9),1,37.3,6,9,0.667,2,4,0.5,7,7,1.0,0,2,2,2,0,1,2,2,21,17.0,-20.0,bridgmi01,SG
38,2023-01-02,26-125,PHO,@,NYK,L (-19),1,34.8,4,11,0.364,2,5,0.4,0,0,,0,4,4,4,0,0,0,3,10,6.7,-18.0,bridgmi01,SF
38,2023-01-02,26-125,PHO,@,NYK,L (-19),1,34.8,4,11,0.364,2,5,0.4,0,0,,0,4,4,4,0,0,0,3,10,6.7,-18.0,bridgmi01,SF
38,2023-01-02,26-125,PHO,@,NYK,L (-19),1,34.8,4,11,0.364,2,5,0.4,0,0,,0,4,4,4,0,0,0,3,10,6.7,-18.0,bridgmi01,SG
39,2023-01-04,26-127,PHO,@,CLE,L (-2),1,36.0,3,15,0.2,1,4,0.25,3,4,0.75,2,5,7,4,1,2,1,1,10,7.0,-12.0,bridgmi01,SF
39,2023-01-04,26-127,PHO,@,CLE,L (-2),1,36.0,3,15,0.2,1,4,0.25,3,4,0.75,2,5,7,4,1,2,1,1,10,7.0,-12.0,bridgmi01,SF
39,2023-01-04,26-127,PHO,@,CLE,L (-2),1,36.0,3,15,0.2,1,4,0.25,3,4,0.75,2,5,7,4,1,2,1,1,10,7.0,-12.0,bridgmi01,SG
40,2023-01-06,26-129,PHO,,MIA,L (-8),1,39.4,2,10,0.2,1,5,0.2,10,10,1.0,2,2,4,7,2,0,2,1,15,15.3,-2.0,bridgmi01,SF
40,2023-01-06,26-129,PHO,,MIA,L (-8),1,39.4,2,10,0.2,1,5,0.2,10,10,1.0,2,2,4,7,2,0,2,1,15,15.3,-2.0,bridgmi01,SF
40,2023-01-06,26-129,PHO,,MIA,L (-8),1,39.4,2,10,0.2,1,5,0.2,10,10,1.0,2,2,4,7,2,0,2,1,15,15.3,-2.0,bridgmi01,SG
41,2023-01-08,26-131,PHO,,CLE,L (-14),1,38.0,7,10,0.7,1,1,1.0,0,0,,0,2,2,3,2,0,2,1,15,13.1,-10.0,bridgmi01,SF
41,2023-01-08,26-131,PHO,,CLE,L (-14),1,38.0,7,10,0.7,1,1,1.0,0,0,,0,2,2,3,2,0,2,1,15,13.1,-10.0,bridgmi01,SF
41,2023-01-08,26-131,PHO,,CLE,L (-14),1,38.0,7,10,0.7,1,1,1.0,0,0,,0,2,2,3,2,0,2,1,15,13.1,-10.0,bridgmi01,SG
42,2023-01-10,26-133,PHO,@,GSW,W (+12),1,40.6,10,18,0.556,1,3,0.333,5,7,0.714,3,6,9,5,1,3,1,1,26,25.7,13.0,bridgmi01,SF
42,2023-01-10,26-133,PHO,@,GSW,W (+12),1,40.6,10,18,0.556,1,3,0.333,5,7,0.714,3,6,9,5,1,3,1,1,26,25.7,13.0,bridgmi01,SF
42,2023-01-10,26-133,PHO,@,GSW,W (+12),1,40.6,10,18,0.556,1,3,0.333,5,7,0.714,3,6,9,5,1,3,1,1,26,25.7,13.0,bridgmi01,SG
43,2023-01-11,26-134,PHO,@,DEN,L (-29),1,30.0,3,10,0.3,1,3,0.333,0,0,,3,2,5,4,0,0,1,1,7,5.3,-20.0,bridgmi01,SF
43,2023-01-11,26-134,PHO,@,DEN,L (-29),1,30.0,3,10,0.3,1,3,0.333,0,0,,3,2,5,4,0,0,1,1,7,5.3,-20.0,bridgmi01,SF
43,2023-01-11,26-134,PHO,@,DEN,L (-29),1,30.0,3,10,0.3,1,3,0.333,0,0,,3,2,5,4,0,0,1,1,7,5.3,-20.0,bridgmi01,SG
44,2023-01-13,26-136,PHO,@,MIN,L (-5),1,40.2,9,14,0.643,3,5,0.6,3,3,1.0,0,4,4,6,3,0,4,3,24,21.0,0.0,bridgmi01,SF
44,2023-01-13,26-136,PHO,@,MIN,L (-5),1,40.2,9,14,0.643,3,5,0.6,3,3,1.0,0,4,4,6,3,0,4,3,24,21.0,0.0,bridgmi01,SF
44,2023-01-13,26-136,PHO,@,MIN,L (-5),1,40.2,9,14,0.643,3,5,0.6,3,3,1.0,0,4,4,6,3,0,4,3,24,21.0,0.0,bridgmi01,SG
45,2023-01-16,26-139,PHO,@,MEM,L (-30),1,29.9,8,16,0.5,1,3,0.333,4,4,1.0,0,4,4,7,2,1,3,1,21,18.4,-14.0,bridgmi01,SF
45,2023-01-16,26-139,PHO,@,MEM,L (-30),1,29.9,8,16,0.5,1,3,0.333,4,4,1.0,0,4,4,7,2,1,3,1,21,18.4,-14.0,bridgmi01,SF
45,2023-01-16,26-139,PHO,@,MEM,L (-30),1,29.9,8,16,0.5,1,3,0.333,4,4,1.0,0,4,4,7,2,1,3,1,21,18.4,-14.0,bridgmi01,SG
46,2023-01-19,26-142,PHO,,BKN,W (+5),1,41.5,9,19,0.474,2,5,0.4,8,10,0.8,0,2,2,9,0,0,3,0,28,21.4,1.0,bridgmi01,SF
46,2023-01-19,26-142,PHO,,BKN,W (+5),1,41.5,9,19,0.474,2,5,0.4,8,10,0.8,0,2,2,9,0,0,3,0,28,21.4,1.0,bridgmi01,SF
46,2023-01-19,26-142,PHO,,BKN,W (+5),1,41.5,9,19,0.474,2,5,0.4,8,10,0.8,0,2,2,9,0,0,3,0,28,21.4,1.0,bridgmi01,SG
47,2023-01-21,26-144,PHO,,IND,W (+5),1,37.5,9,19,0.474,2,5,0.4,2,2,1.0,2,2,4,4,4,0,3,2,22,17.3,-2.0,bridgmi01,SF
47,2023-01-21,26-144,PHO,,IND,W (+5),1,37.5,9,19,0.474,2,5,0.4,2,2,1.0,2,2,4,4,4,0,3,2,22,17.3,-2.0,bridgmi01,SF
47,2023-01-21,26-144,PHO,,IND,W (+5),1,37.5,9,19,0.474,2,5,0.4,2,2,1.0,2,2,4,4,4,0,3,2,22,17.3,-2.0,bridgmi01,SG
48,2023-01-22,26-145,PHO,,MEM,W (+2),1,40.8,8,21,0.381,4,10,0.4,4,4,1.0,0,5,5,4,1,1,0,2,24,17.7,-4.0,bridgmi01,SF
48,2023-01-22,26-145,PHO,,MEM,W (+2),1,40.8,8,21,0.381,4,10,0.4,4,4,1.0,0,5,5,4,1,1,0,2,24,17.7,-4.0,bridgmi01,SF
48,2023-01-22,26-145,PHO,,MEM,W (+2),1,40.8,8,21,0.381,4,10,0.4,4,4,1.0,0,5,5,4,1,1,0,2,24,17.7,-4.0,bridgmi01,SG
49,2023-01-24,26-147,PHO,,CHA,W (+31),1,30.1,7,16,0.438,2,5,0.4,2,2,1.0,0,2,2,3,1,1,2,2,18,11.2,11.0,bridgmi01,SF
49,2023-01-24,26-147,PHO,,CHA,W (+31),1,30.1,7,16,0.438,2,5,0.4,2,2,1.0,0,2,2,3,1,1,2,2,18,11.2,11.0,bridgmi01,SF
49,2023-01-24,26-147,PHO,,CHA,W (+31),1,30.1,7,16,0.438,2,5,0.4,2,2,1.0,0,2,2,3,1,1,2,2,18,11.2,11.0,bridgmi01,SG
50,2023-01-26,26-149,PHO,,DAL,L (-4),1,42.3,5,12,0.417,2,5,0.4,4,4,1.0,1,3,4,4,0,0,0,0,16,14.0,6.0,bridgmi01,SF
50,2023-01-26,26-149,PHO,,DAL,L (-4),1,42.3,5,12,0.417,2,5,0.4,4,4,1.0,1,3,4,4,0,0,0,0,16,14.0,6.0,bridgmi01,SF
50,2023-01-26,26-149,PHO,,DAL,L (-4),1,42.3,5,12,0.417,2,5,0.4,4,4,1.0,1,3,4,4,0,0,0,0,16,14.0,6.0,bridgmi01,SG
51,2023-01-28,26-151,PHO,@,SAS,W (+10),1,40.9,10,18,0.556,1,4,0.25,4,5,0.8,1,0,1,4,1,1,0,3,25,20.0,6.0,bridgmi01,SF
51,2023-01-28,26-151,PHO,@,SAS,W (+10),1,40.9,10,18,0.556,1,4,0.25,4,5,0.8,1,0,1,4,1,1,0,3,25,20.0,6.0,bridgmi01,SF
51,2023-01-28,26-151,PHO,@,SAS,W (+10),1,40.9,10,18,0.556,1,4,0.25,4,5,0.8,1,0,1,4,1,1,0,3,25,20.0,6.0,bridgmi01,SG
52,2023-01-30,26-153,PHO,,TOR,W (+8),1,38.9,12,19,0.632,3,4,0.75,2,2,1.0,0,3,3,6,3,1,2,1,29,26.9,4.0,bridgmi01,SF
52,2023-01-30,26-153,PHO,,TOR,W (+8),1,38.9,12,19,0.632,3,4,0.75,2,2,1.0,0,3,3,6,3,1,2,1,29,26.9,4.0,bridgmi01,SF
52,2023-01-30,26-153,PHO,,TOR,W (+8),1,38.9,12,19,0.632,3,4,0.75,2,2,1.0,0,3,3,6,3,1,2,1,29,26.9,4.0,bridgmi01,SG
